FrameIndex,Fish0_x,Fish0_y,Fish1_x,Fish1_y,Behavior,Fish0_moving_distance,Fish1_moving_distance,Fish0_moving_direction,Fish1_moving_direction
12246,930,769,827,827,5,17.0,10.82,0,0
12247,915,761,836,821,5,35.69,11.66,0,0
12248,880,754,846,815,5,49.01,7.21,0,0
12249,831,753,852,811,5,44.72,7.28,0,0
12250,787,761,859,809,5,12.04,12.81,0,0
12251,788,773,849,801,5,34.93,11.4,0,0
12252,822,781,856,792,5,50.04,18.36,0,0
12253,872,783,872,783,5,60.01,60.01,0,0
12254,932,782,932,782,5,65.28,65.28,0,0
12255,997,776,997,776,5,92.66,61.85,0,0
12256,1089,765,1057,761,5,49.65,48.7,0,0
12257,1136,749,1103,745,5,45.88,46.84,0,0
12258,1180,736,1148,732,5,13.15,70.01,0,0
12259,1182,723,1218,731,5,21.93,63.0,0,0
12260,1202,714,1281,731,5,9.06,50.04,0,0
12261,1203,705,1331,733,5,10.2,28.07,0,0
12262,1213,703,1359,731,5,7.07,24.0,0,0
12263,1220,702,1383,731,5,11.05,23.0,0,0
12264,1231,703,1406,731,0,12.17,20.02,0,0
12265,1243,705,1426,732,3,13.6,17.12,0,0
12266,1256,709,1443,734,3,13.0,11.05,0,0
12267,1268,714,1454,735,3,15.23,10.77,0,0
12268,1282,720,1464,739,3,12.53,8.06,0,0
12269,1293,726,1468,746,3,13.42,8.54,0,0
12270,1305,732,1471,754,3,11.4,14.87,0,0
12271,1314,739,1461,765,3,29.97,28.44,0,0
12272,1341,752,1433,770,3,23.32,31.4,0,0
12273,1361,764,1402,775,3,21.4,24.08,0,0
12274,1378,777,1378,777,3,6.4,6.4,0,0
12275,1374,782,1374,782,3,14.0,16.49,0,0
12276,1388,782,1358,786,3,21.0,22.0,0,0
12277,1409,782,1336,786,3,28.0,27.07,0,0
12278,1437,782,1309,784,3,20.25,13.6,0,0
12279,1456,789,1296,780,3,16.16,5.83,0,0
12280,1471,795,1291,777,3,14.87,5.0,0,0
